weight_name,module,value,provenance,source_citation,sample_size,confidence_interval,domain,layer,last_calibration_date,flags
tech.false_equivalence.appraisal.certainty,technique_to_circuit,-0.1,UNCALIBRATED,UNCALIBRATED: creates false decision framework,,,universal,L3_technique,,
tech.false_equivalence.circuit.deliberation,technique_to_circuit,1.1,UNCALIBRATED,UNCALIBRATED: creates false decision framework,,,universal,L3_technique,,OUTLIER
tech.false_equivalence.insula_mod,technique_to_circuit,0.1,UNCALIBRATED,UNCALIBRATED: creates false decision framework,,,universal,L3_technique,,
tech.false_scarcity.appraisal.agency,technique_to_circuit,-0.2,CONSTRAINED,"CONSTRAINED: Booking.com data — disgust after 2-3 exposures, highest insula trigger",,,universal,L3_technique,,
tech.false_scarcity.appraisal.temporal_proximity,technique_to_circuit,0.2,CONSTRAINED,"CONSTRAINED: Booking.com data — disgust after 2-3 exposures, highest insula trigger",,,universal,L3_technique,,
tech.false_scarcity.circuit.avoidance,technique_to_circuit,1.1,CONSTRAINED,"CONSTRAINED: Booking.com data — disgust after 2-3 exposures, highest insula trigger",,,universal,L3_technique,,OUTLIER
tech.false_scarcity.insula_mod,technique_to_circuit,0.3,CONSTRAINED,"CONSTRAINED: Booking.com data — disgust after 2-3 exposures, highest insula trigger",,,universal,L3_technique,,
tech.false_urgency.appraisal.temporal_proximity,technique_to_circuit,0.3,CONSTRAINED,CONSTRAINED: suppresses deliberation but triggers manipulation detection over time,,,universal,L3_technique,,
tech.false_urgency.circuit.deliberation,technique_to_circuit,0.7,CONSTRAINED,CONSTRAINED: suppresses deliberation but triggers manipulation detection over time,,,universal,L3_technique,,
tech.false_urgency.insula_mod,technique_to_circuit,0.2,CONSTRAINED,CONSTRAINED: suppresses deliberation but triggers manipulation detection over time,,,universal,L3_technique,,
tech.fear_mongering.appraisal.certainty,technique_to_circuit,-0.15,CONSTRAINED,"CONSTRAINED: amplified threat signal, high amygdala activation",,,universal,L3_technique,,
tech.fear_mongering.appraisal.valence,technique_to_circuit,-0.25,CONSTRAINED,"CONSTRAINED: amplified threat signal, high amygdala activation",,,universal,L3_technique,,
tech.fear_mongering.circuit.avoidance,technique_to_circuit,1.4,CONSTRAINED,"CONSTRAINED: amplified threat signal, high amygdala activation",,,universal,L3_technique,,OUTLIER
tech.fear_mongering.insula_mod,technique_to_circuit,0.25,CONSTRAINED,"CONSTRAINED: amplified threat signal, high amygdala activation",,,universal,L3_technique,,
tech.foot_in_the_door.appraisal.certainty,technique_to_circuit,0.05,CONSTRAINED,CONSTRAINED: Freedman & Fraser 1966 — small compliance creates commitment. Each yes lowers the thres,,,universal,L3_technique,,
tech.foot_in_the_door.appraisal.coping_potential,technique_to_circuit,0.1,CONSTRAINED,CONSTRAINED: Freedman & Fraser 1966 — small compliance creates commitment. Each yes lowers the thres,,,universal,L3_technique,,
tech.foot_in_the_door.circuit.approach,technique_to_circuit,1.05,CONSTRAINED,CONSTRAINED: Freedman & Fraser 1966 — small compliance creates commitment. Each yes lowers the thres,,,universal,L3_technique,,OUTLIER
tech.foot_in_the_door.insula_mod,technique_to_circuit,0.0,CONSTRAINED,CONSTRAINED: Freedman & Fraser 1966 — small compliance creates commitment. Each yes lowers the thres,,,universal,L3_technique,,
tech.future_pacing.appraisal.goal_relevance,technique_to_circuit,0.15,UNCALIBRATED,UNCALIBRATED: mental simulation increases approach via NAcc anticipation. Knutson 2007: dopamine fir,,,universal,L3_technique,,
tech.future_pacing.appraisal.temporal_proximity,technique_to_circuit,0.1,UNCALIBRATED,UNCALIBRATED: mental simulation increases approach via NAcc anticipation. Knutson 2007: dopamine fir,,,universal,L3_technique,,
tech.future_pacing.appraisal.valence,technique_to_circuit,0.15,UNCALIBRATED,UNCALIBRATED: mental simulation increases approach via NAcc anticipation. Knutson 2007: dopamine fir,,,universal,L3_technique,,
tech.future_pacing.circuit.approach,technique_to_circuit,1.15,UNCALIBRATED,UNCALIBRATED: mental simulation increases approach via NAcc anticipation. Knutson 2007: dopamine fir,,,universal,L3_technique,,OUTLIER
tech.future_pacing.insula_mod,technique_to_circuit,0.0,UNCALIBRATED,UNCALIBRATED: mental simulation increases approach via NAcc anticipation. Knutson 2007: dopamine fir,,,universal,L3_technique,,
tech.gain_frame.appraisal.valence,technique_to_circuit,0.1,CONSTRAINED,CONSTRAINED: Kahneman & Tversky 1979 — gain framing produces moderate approach,,,universal,L3_technique,,
tech.gain_frame.circuit.approach,technique_to_circuit,1.05,CONSTRAINED,CONSTRAINED: Kahneman & Tversky 1979 — gain framing produces moderate approach,,,universal,L3_technique,,OUTLIER
tech.gain_frame.insula_mod,technique_to_circuit,0.0,CONSTRAINED,CONSTRAINED: Kahneman & Tversky 1979 — gain framing produces moderate approach,,,universal,L3_technique,,
tech.gaslighting.appraisal.agency,technique_to_circuit,-0.3,CONSTRAINED,"CONSTRAINED: undermines confidence in own judgment, high insula activation",,,universal,L3_technique,,
tech.gaslighting.appraisal.certainty,technique_to_circuit,-0.25,CONSTRAINED,"CONSTRAINED: undermines confidence in own judgment, high insula activation",,,universal,L3_technique,,
tech.gaslighting.circuit.deliberation,technique_to_circuit,1.3,CONSTRAINED,"CONSTRAINED: undermines confidence in own judgment, high insula activation",,,universal,L3_technique,,OUTLIER
tech.gaslighting.insula_mod,technique_to_circuit,0.3,CONSTRAINED,"CONSTRAINED: undermines confidence in own judgment, high insula activation",,,universal,L3_technique,,
tech.guilt_tripping.appraisal.agency,technique_to_circuit,-0.15,CONSTRAINED,"CONSTRAINED: guilt produces avoidance of the guilt state, compliance as escape",,,universal,L3_technique,,
tech.guilt_tripping.appraisal.valence,technique_to_circuit,-0.2,CONSTRAINED,"CONSTRAINED: guilt produces avoidance of the guilt state, compliance as escape",,,universal,L3_technique,,
tech.guilt_tripping.circuit.approach,technique_to_circuit,1.05,CONSTRAINED,"CONSTRAINED: guilt produces avoidance of the guilt state, compliance as escape",,,universal,L3_technique,,OUTLIER
tech.guilt_tripping.circuit.avoidance,technique_to_circuit,1.15,CONSTRAINED,"CONSTRAINED: guilt produces avoidance of the guilt state, compliance as escape",,,universal,L3_technique,,OUTLIER
tech.guilt_tripping.insula_mod,technique_to_circuit,0.15,CONSTRAINED,"CONSTRAINED: guilt produces avoidance of the guilt state, compliance as escape",,,universal,L3_technique,,
tech.high_ground_maneuver.appraisal.agency,technique_to_circuit,-0.15,UNCALIBRATED,"UNCALIBRATED: Adams (Win Bigly 2017) — reframes to universally held value, disagreement becomes cost",,,universal,L3_technique,,
tech.high_ground_maneuver.appraisal.certainty,technique_to_circuit,0.2,UNCALIBRATED,"UNCALIBRATED: Adams (Win Bigly 2017) — reframes to universally held value, disagreement becomes cost",,,universal,L3_technique,,
tech.high_ground_maneuver.appraisal.goal_relevance,technique_to_circuit,0.1,UNCALIBRATED,"UNCALIBRATED: Adams (Win Bigly 2017) — reframes to universally held value, disagreement becomes cost",,,universal,L3_technique,,
tech.high_ground_maneuver.circuit.approach,technique_to_circuit,1.15,UNCALIBRATED,"UNCALIBRATED: Adams (Win Bigly 2017) — reframes to universally held value, disagreement becomes cost",,,universal,L3_technique,,OUTLIER
tech.high_ground_maneuver.circuit.deliberation,technique_to_circuit,0.65,UNCALIBRATED,"UNCALIBRATED: Adams (Win Bigly 2017) — reframes to universally held value, disagreement becomes cost",,,universal,L3_technique,,
tech.high_ground_maneuver.insula_mod,technique_to_circuit,0.0,UNCALIBRATED,"UNCALIBRATED: Adams (Win Bigly 2017) — reframes to universally held value, disagreement becomes cost",,,universal,L3_technique,,
tech.identity_lock.appraisal.certainty,technique_to_circuit,0.1,UNCALIBRATED,UNCALIBRATED: Cialdini (commitment/consistency) + social identity theory. Compliance = identity conf,,,universal,L3_technique,,
tech.identity_lock.appraisal.goal_relevance,technique_to_circuit,0.2,UNCALIBRATED,UNCALIBRATED: Cialdini (commitment/consistency) + social identity theory. Compliance = identity conf,,,universal,L3_technique,,
tech.identity_lock.circuit.approach,technique_to_circuit,1.2,UNCALIBRATED,UNCALIBRATED: Cialdini (commitment/consistency) + social identity theory. Compliance = identity conf,,,universal,L3_technique,,OUTLIER
tech.identity_lock.circuit.deliberation,technique_to_circuit,0.75,UNCALIBRATED,UNCALIBRATED: Cialdini (commitment/consistency) + social identity theory. Compliance = identity conf,,,universal,L3_technique,,
tech.identity_lock.insula_mod,technique_to_circuit,0.0,UNCALIBRATED,UNCALIBRATED: Cialdini (commitment/consistency) + social identity theory. Compliance = identity conf,,,universal,L3_technique,,
tech.labeling.appraisal.agency,technique_to_circuit,0.1,CONSTRAINED,CONSTRAINED: Voss (Never Split the Difference) — labeling emotions reduces amygdala reactivity (Lieb,,,universal,L3_technique,,
tech.labeling.appraisal.valence,technique_to_circuit,0.1,CONSTRAINED,CONSTRAINED: Voss (Never Split the Difference) — labeling emotions reduces amygdala reactivity (Lieb,,,universal,L3_technique,,
tech.labeling.circuit.deliberation,technique_to_circuit,0.85,CONSTRAINED,CONSTRAINED: Voss (Never Split the Difference) — labeling emotions reduces amygdala reactivity (Lieb,,,universal,L3_technique,,OUTLIER
tech.labeling.insula_mod,technique_to_circuit,-0.15,CONSTRAINED,CONSTRAINED: Voss (Never Split the Difference) — labeling emotions reduces amygdala reactivity (Lieb,,,universal,L3_technique,,
tech.linguistic_kill_shot.appraisal.certainty,technique_to_circuit,0.15,UNCALIBRATED,UNCALIBRATED: Adams (Win Bigly) — a short sticky label that bypasses deliberation via novelty + cert,,,universal,L3_technique,,
tech.linguistic_kill_shot.appraisal.novelty,technique_to_circuit,0.15,UNCALIBRATED,UNCALIBRATED: Adams (Win Bigly) — a short sticky label that bypasses deliberation via novelty + cert,,,universal,L3_technique,,
tech.linguistic_kill_shot.appraisal.valence,technique_to_circuit,-0.25,UNCALIBRATED,UNCALIBRATED: Adams (Win Bigly) — a short sticky label that bypasses deliberation via novelty + cert,,,universal,L3_technique,,
tech.linguistic_kill_shot.circuit.avoidance,technique_to_circuit,1.3,UNCALIBRATED,UNCALIBRATED: Adams (Win Bigly) — a short sticky label that bypasses deliberation via novelty + cert,,,universal,L3_technique,,OUTLIER
tech.linguistic_kill_shot.circuit.deliberation,technique_to_circuit,0.7,UNCALIBRATED,UNCALIBRATED: Adams (Win Bigly) — a short sticky label that bypasses deliberation via novelty + cert,,,universal,L3_technique,,
tech.linguistic_kill_shot.insula_mod,technique_to_circuit,0.2,UNCALIBRATED,UNCALIBRATED: Adams (Win Bigly) — a short sticky label that bypasses deliberation via novelty + cert,,,universal,L3_technique,,
tech.logical_appeal.appraisal.certainty,technique_to_circuit,0.15,CONSTRAINED,CONSTRAINED: Petty & Cacioppo 1986 — central route processing increases with argument quality,,,universal,L3_technique,,
tech.logical_appeal.circuit.deliberation,technique_to_circuit,1.15,CONSTRAINED,CONSTRAINED: Petty & Cacioppo 1986 — central route processing increases with argument quality,,,universal,L3_technique,,OUTLIER
tech.logical_appeal.insula_mod,technique_to_circuit,0.0,CONSTRAINED,CONSTRAINED: Petty & Cacioppo 1986 — central route processing increases with argument quality,,,universal,L3_technique,,
tech.loss_frame.appraisal.valence,technique_to_circuit,-0.1,CONSTRAINED,CONSTRAINED: loss aversion ~2x gain — avoidance AND approach both increase,,,universal,L3_technique,,
tech.loss_frame.circuit.approach,technique_to_circuit,1.1,CONSTRAINED,CONSTRAINED: loss aversion ~2x gain — avoidance AND approach both increase,,,universal,L3_technique,,OUTLIER
tech.loss_frame.circuit.avoidance,technique_to_circuit,1.15,CONSTRAINED,CONSTRAINED: loss aversion ~2x gain — avoidance AND approach both increase,,,universal,L3_technique,,OUTLIER
tech.loss_frame.insula_mod,technique_to_circuit,0.0,CONSTRAINED,CONSTRAINED: loss aversion ~2x gain — avoidance AND approach both increase,,,universal,L3_technique,,
tech.manipulative_flattery.appraisal.agency,technique_to_circuit,0.1,CONSTRAINED,CONSTRAINED: flattery suppresses critical evaluation but triggers insula when detected,,,universal,L3_technique,,
tech.manipulative_flattery.appraisal.valence,technique_to_circuit,0.15,CONSTRAINED,CONSTRAINED: flattery suppresses critical evaluation but triggers insula when detected,,,universal,L3_technique,,
tech.manipulative_flattery.circuit.deliberation,technique_to_circuit,0.8,CONSTRAINED,CONSTRAINED: flattery suppresses critical evaluation but triggers insula when detected,,,universal,L3_technique,,OUTLIER
tech.manipulative_flattery.insula_mod,technique_to_circuit,0.15,CONSTRAINED,CONSTRAINED: flattery suppresses critical evaluation but triggers insula when detected,,,universal,L3_technique,,
tech.name_calling.appraisal.agency,technique_to_circuit,-0.1,UNCALIBRATED,UNCALIBRATED: dehumanizing labels trigger strong avoidance,,,universal,L3_technique,,
tech.name_calling.appraisal.valence,technique_to_circuit,-0.25,UNCALIBRATED,UNCALIBRATED: dehumanizing labels trigger strong avoidance,,,universal,L3_technique,,
tech.name_calling.circuit.avoidance,technique_to_circuit,1.25,UNCALIBRATED,UNCALIBRATED: dehumanizing labels trigger strong avoidance,,,universal,L3_technique,,OUTLIER
tech.name_calling.insula_mod,technique_to_circuit,0.2,UNCALIBRATED,UNCALIBRATED: dehumanizing labels trigger strong avoidance,,,universal,L3_technique,,
tech.obfuscation.appraisal.certainty,technique_to_circuit,-0.2,CONSTRAINED,CONSTRAINED: complex language increases cognitive load and suspicion,,,universal,L3_technique,,
tech.obfuscation.appraisal.coping_potential,technique_to_circuit,-0.15,CONSTRAINED,CONSTRAINED: complex language increases cognitive load and suspicion,,,universal,L3_technique,,
tech.obfuscation.circuit.deliberation,technique_to_circuit,1.3,CONSTRAINED,CONSTRAINED: complex language increases cognitive load and suspicion,,,universal,L3_technique,,OUTLIER
tech.obfuscation.insula_mod,technique_to_circuit,0.15,CONSTRAINED,CONSTRAINED: complex language increases cognitive load and suspicion,,,universal,L3_technique,,
tech.pacing_and_leading.appraisal.agency,technique_to_circuit,0.05,CONSTRAINED,"CONSTRAINED: Bandler & Grinder (NLP) — pacing builds rapport (lowers insula), leading redirects with",,,universal,L3_technique,,
tech.pacing_and_leading.appraisal.certainty,technique_to_circuit,0.1,CONSTRAINED,"CONSTRAINED: Bandler & Grinder (NLP) — pacing builds rapport (lowers insula), leading redirects with",,,universal,L3_technique,,
tech.pacing_and_leading.appraisal.valence,technique_to_circuit,0.1,CONSTRAINED,"CONSTRAINED: Bandler & Grinder (NLP) — pacing builds rapport (lowers insula), leading redirects with",,,universal,L3_technique,,
tech.pacing_and_leading.circuit.approach,technique_to_circuit,1.1,CONSTRAINED,"CONSTRAINED: Bandler & Grinder (NLP) — pacing builds rapport (lowers insula), leading redirects with",,,universal,L3_technique,,OUTLIER
tech.pacing_and_leading.circuit.deliberation,technique_to_circuit,0.85,CONSTRAINED,"CONSTRAINED: Bandler & Grinder (NLP) — pacing builds rapport (lowers insula), leading redirects with",,,universal,L3_technique,,OUTLIER
tech.pacing_and_leading.insula_mod,technique_to_circuit,-0.1,CONSTRAINED,"CONSTRAINED: Bandler & Grinder (NLP) — pacing builds rapport (lowers insula), leading redirects with",,,universal,L3_technique,,
tech.perspective_shifting.appraisal.goal_relevance,technique_to_circuit,0.1,UNCALIBRATED,UNCALIBRATED: reframing activates TPJ perspective-taking,,,universal,L3_technique,,
tech.perspective_shifting.appraisal.novelty,technique_to_circuit,0.1,UNCALIBRATED,UNCALIBRATED: reframing activates TPJ perspective-taking,,,universal,L3_technique,,
tech.perspective_shifting.insula_mod,technique_to_circuit,0.0,UNCALIBRATED,UNCALIBRATED: reframing activates TPJ perspective-taking,,,universal,L3_technique,,
tech.presupposition.appraisal.certainty,technique_to_circuit,0.15,UNCALIBRATED,UNCALIBRATED: linguistic presupposition bypasses evaluation. The embedded claim is processed as back,,,universal,L3_technique,,
tech.presupposition.circuit.deliberation,technique_to_circuit,0.7,UNCALIBRATED,UNCALIBRATED: linguistic presupposition bypasses evaluation. The embedded claim is processed as back,,,universal,L3_technique,,
tech.presupposition.insula_mod,technique_to_circuit,0.0,UNCALIBRATED,UNCALIBRATED: linguistic presupposition bypasses evaluation. The embedded claim is processed as back,,,universal,L3_technique,,
tech.reciprocity.appraisal.agency,technique_to_circuit,-0.1,CONSTRAINED,CONSTRAINED: vmPFC debt-tracking activates compliance to restore balance,,,universal,L3_technique,,
tech.reciprocity.appraisal.valence,technique_to_circuit,0.15,CONSTRAINED,CONSTRAINED: vmPFC debt-tracking activates compliance to restore balance,,,universal,L3_technique,,
tech.reciprocity.circuit.approach,technique_to_circuit,1.1,CONSTRAINED,CONSTRAINED: vmPFC debt-tracking activates compliance to restore balance,,,universal,L3_technique,,OUTLIER
tech.reciprocity.insula_mod,technique_to_circuit,0.0,CONSTRAINED,CONSTRAINED: vmPFC debt-tracking activates compliance to restore balance,,,universal,L3_technique,,
tech.red_herring.appraisal.goal_relevance,technique_to_circuit,-0.2,UNCALIBRATED,UNCALIBRATED: diversion reduces relevance assessment,,,universal,L3_technique,,
tech.red_herring.insula_mod,technique_to_circuit,0.1,UNCALIBRATED,UNCALIBRATED: diversion reduces relevance assessment,,,universal,L3_technique,,
tech.rhetorical_question.appraisal.goal_relevance,technique_to_circuit,0.1,UNCALIBRATED,UNCALIBRATED: rhetorical questions activate self-referential processing,,,universal,L3_technique,,
tech.rhetorical_question.insula_mod,technique_to_circuit,0.0,UNCALIBRATED,UNCALIBRATED: rhetorical questions activate self-referential processing,,,universal,L3_technique,,
tech.scarcity_appeal.appraisal.agency,technique_to_circuit,-0.1,CONSTRAINED,CONSTRAINED: real scarcity increases NAc valuation (variable-ratio),,,universal,L3_technique,,
tech.scarcity_appeal.appraisal.temporal_proximity,technique_to_circuit,0.25,CONSTRAINED,CONSTRAINED: real scarcity increases NAc valuation (variable-ratio),,,universal,L3_technique,,
tech.scarcity_appeal.circuit.avoidance,technique_to_circuit,1.1,CONSTRAINED,CONSTRAINED: real scarcity increases NAc valuation (variable-ratio),,,universal,L3_technique,,OUTLIER
tech.scarcity_appeal.circuit.deliberation,technique_to_circuit,0.85,CONSTRAINED,CONSTRAINED: real scarcity increases NAc valuation (variable-ratio),,,universal,L3_technique,,OUTLIER
tech.scarcity_appeal.insula_mod,technique_to_circuit,0.0,CONSTRAINED,CONSTRAINED: real scarcity increases NAc valuation (variable-ratio),,,universal,L3_technique,,
tech.self_disclosure.appraisal.agency,technique_to_circuit,0.05,CONSTRAINED,CONSTRAINED: Collins & Miller 1994 — self-disclosure creates reciprocal liking,,,universal,L3_technique,,
tech.self_disclosure.appraisal.valence,technique_to_circuit,0.1,CONSTRAINED,CONSTRAINED: Collins & Miller 1994 — self-disclosure creates reciprocal liking,,,universal,L3_technique,,
tech.self_disclosure.insula_mod,technique_to_circuit,-0.1,CONSTRAINED,CONSTRAINED: Collins & Miller 1994 — self-disclosure creates reciprocal liking,,,universal,L3_technique,,
tech.slippery_slope.appraisal.certainty,technique_to_circuit,-0.15,UNCALIBRATED,UNCALIBRATED: exaggerated consequences trigger moderate avoidance,,,universal,L3_technique,,
tech.slippery_slope.appraisal.valence,technique_to_circuit,-0.1,UNCALIBRATED,UNCALIBRATED: exaggerated consequences trigger moderate avoidance,,,universal,L3_technique,,
tech.slippery_slope.circuit.avoidance,technique_to_circuit,1.1,UNCALIBRATED,UNCALIBRATED: exaggerated consequences trigger moderate avoidance,,,universal,L3_technique,,OUTLIER
tech.slippery_slope.insula_mod,technique_to_circuit,0.1,UNCALIBRATED,UNCALIBRATED: exaggerated consequences trigger moderate avoidance,,,universal,L3_technique,,
tech.social_proof.appraisal.certainty,technique_to_circuit,0.2,CONSTRAINED,CONSTRAINED: A/B data — social proof +34% conversion at decision point,,,universal,L3_technique,,
tech.social_proof.appraisal.goal_relevance,technique_to_circuit,0.05,CONSTRAINED,CONSTRAINED: A/B data — social proof +34% conversion at decision point,,,universal,L3_technique,,
tech.social_proof.circuit.deliberation,technique_to_circuit,0.8,CONSTRAINED,CONSTRAINED: A/B data — social proof +34% conversion at decision point,,,universal,L3_technique,,OUTLIER
tech.social_proof.insula_mod,technique_to_circuit,0.0,CONSTRAINED,CONSTRAINED: A/B data — social proof +34% conversion at decision point,,,universal,L3_technique,,
tech.storytelling.appraisal.goal_relevance,technique_to_circuit,0.1,CONSTRAINED,CONSTRAINED: Green & Brock 2000 — narrative transportation reduces critical evaluation,,,universal,L3_technique,,
tech.storytelling.appraisal.valence,technique_to_circuit,0.1,CONSTRAINED,CONSTRAINED: Green & Brock 2000 — narrative transportation reduces critical evaluation,,,universal,L3_technique,,
tech.storytelling.circuit.deliberation,technique_to_circuit,0.7,CONSTRAINED,CONSTRAINED: Green & Brock 2000 — narrative transportation reduces critical evaluation,,,universal,L3_technique,,
tech.storytelling.insula_mod,technique_to_circuit,0.0,CONSTRAINED,CONSTRAINED: Green & Brock 2000 — narrative transportation reduces critical evaluation,,,universal,L3_technique,,
tech.straw_man.appraisal.certainty,technique_to_circuit,-0.1,UNCALIBRATED,UNCALIBRATED: misrepresentation detected by ACC conflict monitoring,,,universal,L3_technique,,
tech.straw_man.circuit.deliberation,technique_to_circuit,1.15,UNCALIBRATED,UNCALIBRATED: misrepresentation detected by ACC conflict monitoring,,,universal,L3_technique,,OUTLIER
tech.straw_man.insula_mod,technique_to_circuit,0.15,UNCALIBRATED,UNCALIBRATED: misrepresentation detected by ACC conflict monitoring,,,universal,L3_technique,,
tech.thinking_past_the_sale.appraisal.certainty,technique_to_circuit,0.2,UNCALIBRATED,UNCALIBRATED: Adams (Win Bigly) — presupposes the decision is made. Deliberation strongly suppressed,,,universal,L3_technique,,
tech.thinking_past_the_sale.appraisal.temporal_proximity,technique_to_circuit,0.15,UNCALIBRATED,UNCALIBRATED: Adams (Win Bigly) — presupposes the decision is made. Deliberation strongly suppressed,,,universal,L3_technique,,
tech.thinking_past_the_sale.circuit.approach,technique_to_circuit,1.15,UNCALIBRATED,UNCALIBRATED: Adams (Win Bigly) — presupposes the decision is made. Deliberation strongly suppressed,,,universal,L3_technique,,OUTLIER
tech.thinking_past_the_sale.circuit.deliberation,technique_to_circuit,0.6,UNCALIBRATED,UNCALIBRATED: Adams (Win Bigly) — presupposes the decision is made. Deliberation strongly suppressed,,,universal,L3_technique,,
tech.thinking_past_the_sale.insula_mod,technique_to_circuit,0.0,UNCALIBRATED,UNCALIBRATED: Adams (Win Bigly) — presupposes the decision is made. Deliberation strongly suppressed,,,universal,L3_technique,,
tech.unity.appraisal.agency,technique_to_circuit,0.05,CONSTRAINED,CONSTRAINED: Cialdini (Pre-Suasion 2016) — 7th principle. Shared identity creates compliance via bel,,,universal,L3_technique,,
tech.unity.appraisal.goal_relevance,technique_to_circuit,0.15,CONSTRAINED,CONSTRAINED: Cialdini (Pre-Suasion 2016) — 7th principle. Shared identity creates compliance via bel,,,universal,L3_technique,,
tech.unity.appraisal.valence,technique_to_circuit,0.1,CONSTRAINED,CONSTRAINED: Cialdini (Pre-Suasion 2016) — 7th principle. Shared identity creates compliance via bel,,,universal,L3_technique,,
tech.unity.circuit.approach,technique_to_circuit,1.15,CONSTRAINED,CONSTRAINED: Cialdini (Pre-Suasion 2016) — 7th principle. Shared identity creates compliance via bel,,,universal,L3_technique,,OUTLIER
tech.unity.circuit.deliberation,technique_to_circuit,0.85,CONSTRAINED,CONSTRAINED: Cialdini (Pre-Suasion 2016) — 7th principle. Shared identity creates compliance via bel,,,universal,L3_technique,,OUTLIER
tech.unity.insula_mod,technique_to_circuit,-0.1,CONSTRAINED,CONSTRAINED: Cialdini (Pre-Suasion 2016) — 7th principle. Shared identity creates compliance via bel,,,universal,L3_technique,,
tech.urgency_appeal.appraisal.temporal_proximity,technique_to_circuit,0.25,CONSTRAINED,CONSTRAINED: A/B data — urgency 10-30% conversion lift when real,,,universal,L3_technique,,
tech.urgency_appeal.circuit.deliberation,technique_to_circuit,0.8,CONSTRAINED,CONSTRAINED: A/B data — urgency 10-30% conversion lift when real,,,universal,L3_technique,,OUTLIER
tech.urgency_appeal.insula_mod,technique_to_circuit,0.0,CONSTRAINED,CONSTRAINED: A/B data — urgency 10-30% conversion lift when real,,,universal,L3_technique,,
tech.whataboutism.appraisal.goal_relevance,technique_to_circuit,-0.15,UNCALIBRATED,UNCALIBRATED: deflection reduces perceived relevance of original topic,,,universal,L3_technique,,
tech.whataboutism.circuit.deliberation,technique_to_circuit,1.1,UNCALIBRATED,UNCALIBRATED: deflection reduces perceived relevance of original topic,,,universal,L3_technique,,OUTLIER
tech.whataboutism.insula_mod,technique_to_circuit,0.1,UNCALIBRATED,UNCALIBRATED: deflection reduces perceived relevance of original topic,,,universal,L3_technique,,
